State Abv,Summary Code,Region,Division,Total Population,White Alone,African-American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Other Alone,Two or More Races,Hispanic or Latino,Not Hispanic or Latino,year
AL,040,6,3,4447100,3162808,1155930,22430,31346,1409,28998,44179,4371270,4332184,2000
AK,040,9,4,626932,434534,21787,98043,25116,3309,9997,34146,601080,570626,2000
AZ,040,8,6,5130632,3873611,158873,255879,92236,6733,596774,146526,3835015,3758643,2000
AR,040,7,1,2673400,2138598,418950,17808,20220,1668,40412,35744,2586534,2556170,2000
CA,040,9,3,33871648,20170059,2263882,333346,3697513,116961,5682241,1607646,22905092,22001977,2000
CO,040,8,4,4301261,3560005,165063,44241,95213,4621,309931,122187,3565660,3492939,2000
CT,040,1,6,3405565,2780355,309843,9639,82313,1366,147201,74848,3085242,3032346,2000
DE,040,5,1,783600,584773,150666,2731,16259,283,15855,13033,746323,736101,2000
FL,040,5,9,15982378,12465029,2335505,53541,266256,8625,477107,376315,13299663,13062709,2000
GA,040,5,8,8186453,5327281,2349542,21737,173170,4246,196289,114188,7751226,7663862,2000
HI,040,9,5,1211537,294102,22003,3535,503868,113539,15147,259343,1123838,905138,2000
ID,040,8,2,1293953,1177304,5456,17645,11889,1308,54742,25609,1192263,1174002,2000
IL,040,3,3,12419293,9125471,1876875,31006,423603,4610,722712,235016,10889031,10735035,2000
IN,040,3,2,6080485,5320022,510034,15815,59126,2005,97811,75672,5865949,5804834,2000
IA,040,4,2,2926324,2748640,61853,8989,36635,1009,37420,31778,2843851,2818379,2000
KS,040,4,7,2688418,2313944,154198,24936,46806,1313,90725,56496,2500166,2457658,2000
KY,040,6,1,4041769,3640889,295994,8616,29744,1460,22623,42443,3981830,3944080,2000
LA,040,7,2,4468976,2856161,1451944,25477,54758,1240,31131,48265,4361238,4321978,2000
ME,040,1,1,1274923,1236014,6760,7098,9111,382,2911,12647,1265563,1253832,2000
MD,040,5,2,5296486,3391308,1477411,15423,210929,2303,95525,103587,5068570,4985624,2000
MA,040,1,4,6349097,5367286,343454,15015,238124,2489,236724,146005,5920368,5810030,2000
MI,040,3,4,9938444,7966053,1412742,58479,176510,2692,129552,192416,9614567,9451080,2000
MN,040,4,1,4919479,4400282,171731,54967,141968,1979,65810,82742,4776097,4705793,2000
MS,040,6,4,2844658,1746099,1033809,11652,18626,667,13784,20021,2805089,2787817,2000
MO,040,4,3,5595211,4748083,629391,25076,61595,3178,45827,82061,5476619,5404714,2000
MT,040,8,1,902195,817229,2692,56068,4691,470,5315,15730,884114,870346,2000
NE,040,4,6,1711263,1533261,68541,14896,21931,836,47845,23953,1616838,1599142,2000
NV,040,8,8,1998257,1501886,135477,26420,90266,8426,159354,76428,1604287,1555056,2000
NH,040,1,2,1235786,1186851,9035,2964,15931,371,7420,13214,1215297,1203691,2000
NJ,040,2,2,8414350,6104705,1141821,19492,480276,3329,450972,213755,7297159,7163470,2000
NM,040,8,5,1819046,1214253,34343,173483,19255,1503,309882,66327,1053660,1027867,2000
NY,040,2,1,18976457,12893689,3014385,82461,1044976,8818,1341946,590182,16108874,15742758,2000
NC,040,5,6,8049313,5804656,1737545,99551,113689,3983,186629,103260,7670350,7590385,2000
ND,040,4,4,642200,593181,3916,31329,3606,230,2540,7398,634414,627748,2000
OH,040,3,1,11353140,9645453,1301307,24486,132633,2749,88627,157885,11136017,10998247,2000
OK,040,7,3,3450654,2628434,260968,273230,46767,2372,82898,155985,3271350,3131101,2000
OR,040,9,2,3421399,2961623,55662,45211,101350,7976,144832,104745,3146085,3063352,2000
PA,040,2,3,12281054,10484203,1224612,18348,219813,3417,188437,142224,11886966,11773869,2000
RI,040,1,5,1048319,891191,46908,5121,23665,567,52616,28251,957499,936683,2000
SC,040,5,7,4012012,2695560,1185216,13718,36014,1628,39926,39950,3916936,3883646,2000
SD,040,4,5,754844,669404,4685,62283,4378,261,3677,10156,743941,734981,2000
TN,040,6,2,5689283,4563310,932809,15152,56662,2205,56036,63109,5565445,5510621,2000
TX,040,7,4,20851820,14799505,2404566,118362,562319,14434,2438001,514633,14182154,13951587,2000
UT,040,8,7,2233169,1992975,17657,29684,37108,15145,93405,47195,2031610,2000302,2000
VT,040,1,3,608827,589208,3063,2420,5217,141,1443,7335,603323,596514,2000
VA,040,5,4,7078515,5120110,1390293,21172,261025,3946,138900,143069,6748975,6634953,2000
WA,040,9,1,5894121,4821823,190267,93301,322335,23953,228923,213519,5452612,5276686,2000
WV,040,5,5,1808344,1718777,57232,3606,9434,400,3107,15788,1796065,1781082,2000
WI,040,3,5,5363675,4769857,304460,47228,88763,1630,84842,66895,5170754,5118833,2000
WY,040,8,3,493782,454670,3722,11133,2771,302,12301,8883,462113,455949,2000
