State Abv,Summary Code,Region,Total Population,White Alone,African-American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Other Alone,Two or More Races,Hispanic or Latino,Not Hispanic or Latino,year
AL,040,3,4779736,3275394,1251311,28218,53595,3057,96910,71251,3204402,1244437,2010
AK,040,4,710231,473576,23263,104871,38135,7409,11102,51875,455320,21949,2010
AZ,040,4,6392017,4667121,259008,296529,176695,12648,761716,218300,3695647,239101,2010
AR,040,3,2915918,2245229,449895,22248,36102,5863,99571,57010,2173469,447102,2010
CA,040,4,37253956,21453934,2299072,362801,4861007,144386,6317372,1815384,14956253,2163804,2010
CO,040,4,5029196,4089202,201737,56010,139028,6623,364140,172456,3520793,188778,2010
CT,040,1,3574097,2772410,362296,11256,135565,1428,198466,92676,2546262,335119,2010
DE,040,3,897934,618617,191814,4181,28549,400,30519,23854,586752,186782,2010
FL,040,3,18801310,14109162,2999862,71458,454821,12286,681144,472577,10884722,2851100,2010
GA,040,3,9687653,5787440,2950435,32151,314467,6799,388872,207489,5413920,2910800,2010
HI,040,4,1360301,336599,21424,4164,525078,135422,16985,320629,309343,19904,2010
ID,040,4,1567582,1396487,9810,21441,19069,2317,79523,38935,1316243,8875,2010
IL,040,2,12830632,9177877,1866414,43963,586934,4050,861412,289982,8167753,1832924,2010
IN,040,2,6483802,5467906,591397,18462,102474,2348,173314,127901,5286453,582140,2010
IA,040,2,3046355,2781561,89148,11084,53094,2003,56132,53333,2701123,86906,2010
KS,040,2,2853118,2391044,167864,28150,67762,2238,110127,85933,2230539,162700,2010
KY,040,3,4339367,3809537,337520,10120,48930,2501,55551,75208,3745655,333075,2010
LA,040,3,4533372,2836192,1452396,30579,70132,1963,69227,72883,2734884,1442420,2010
ME,040,1,1328361,1264971,15707,8568,13571,342,4261,20941,1254297,15154,2010
MD,040,3,5773552,3359284,1700298,20420,318853,3157,206832,164708,3157958,1674229,2010
MA,040,1,6547629,5265236,434398,18850,349768,2223,305151,172003,4984800,391693,2010
MI,040,2,9883640,7803120,1400362,62007,238199,2604,147029,230319,7569939,1383756,2010
MN,040,2,5303925,4524062,274412,60916,214234,2156,103000,125145,4405142,269141,2010
MS,040,3,2967297,1754684,1098385,15030,25742,1187,38162,34107,1722287,1093512,2010
MO,040,2,5988927,4958770,693391,27376,98083,6261,80457,124589,4850748,687149,2010
MT,040,4,989415,884961,4027,62555,6253,668,5975,24976,868628,3743,2010
NE,040,2,1826341,1572838,82885,18427,32293,1279,79109,39510,1499753,80959,2010
NV,040,4,2700551,1786688,218626,32062,195436,16871,324793,126075,1462081,208058,2010
NH,040,1,1316470,1236050,15035,3150,28407,384,12062,21382,1215050,13625,2010
NJ,040,1,8791894,6029248,1204826,29026,725726,3043,559722,240303,5214878,1125401,2010
NM,040,4,2059179,1407876,42550,193222,28208,1810,308503,77010,833810,35462,2010
NY,040,1,19378102,12740974,3073800,106906,1420244,8766,1441563,585849,11304247,2783857,2010
NC,040,3,9535483,6528950,2048628,122110,208962,6604,414030,206199,6223995,2019854,2010
ND,040,2,672591,605449,7960,36591,6909,320,3509,11853,598007,7720,2010
OH,040,2,11536504,9539437,1407681,25292,192233,4066,130030,237765,9359263,1389115,2010
OK,040,3,3751351,2706845,277644,321687,65076,4369,154409,221321,2575381,272071,2010
OR,040,4,3831074,3204614,69206,53203,141263,13404,204625,144759,3005848,64984,2010
PA,040,1,12702379,10406288,1377689,26843,349088,3653,300983,237835,10094652,1327091,2010
RI,040,1,1052567,856869,60189,6058,30457,554,63653,34787,803685,51560,2010
SC,040,3,4625364,3060000,1290684,19524,59051,2706,113464,79935,2962740,1279998,2010
SD,040,2,814180,699392,10207,71817,7610,394,7477,17283,689502,9959,2010
TN,040,3,6346105,4921948,1057315,19994,91242,3642,141955,110009,4800782,1049391,2010
TX,040,3,25145561,17701552,2979598,170972,964596,21656,2628186,679001,11397345,2886825,2010
UT,040,4,2763885,2379560,29287,32927,55285,24554,166754,75518,2221719,25951,2010
VT,040,1,625741,596292,6277,2207,7947,160,2105,10753,590223,5943,2010
VA,040,3,8001024,5486852,1551399,29225,439890,5980,254278,233400,5186450,1523704,2010
WA,040,4,6724540,5196362,240042,103869,481067,40475,349799,312926,4876804,229603,2010
WV,040,3,1852994,1739988,63124,3787,12406,428,6119,27142,1726256,62122,2010
WI,040,2,5686986,4902067,359148,54526,129234,1827,135867,104317,4738411,350898,2010
WY,040,4,563626,511279,4748,13336,4426,427,17049,12361,483874,4351,2010
DC,040,3,601723,231471,305125,2079,21056,302,24374,17316,209464,301053,2010
PR,040,9,3725789,2825100,461498,19839,6831,370,289905,122246,26946,4663,2010
