State Abv,Summary Code,Region,Total Population,Hispanic or Latino,Not Hispanic or Latino,White,African-American,American Indian,Asian,Pacific Islander,Other,Population of Two Races,year
AL,40,3,5024279,264047,4760232,3171351,1288159,23119,75918,2612,14455,184618,2020
AL,50,3,58805,2117,56688,41582,11352,184,873,22,185,2490,2020
AL,50,3,231767,12686,219081,186495,18001,1291,2029,122,775,10368,2020
AL,50,3,25223,1510,23713,11086,11850,58,103,0,63,553,2020
AL,50,3,22293,740,21553,16442,4390,39,26,9,47,600,2020
AL,50,3,59134,5771,53363,49764,826,188,174,11,100,2300,2020
AL,50,3,10357,503,9854,2281,7388,1,9,7,31,137,2020
AL,50,3,19051,260,18791,9679,8389,23,143,5,46,506,2020
AL,50,3,116441,5010,111431,79519,25365,386,1164,112,317,4568,2020
AL,50,3,34772,1237,33535,18616,13441,71,385,11,115,896,2020
AL,50,3,24971,400,24571,22563,987,109,55,1,46,810,2020
AL,50,3,45014,4418,40596,34878,4040,112,176,5,121,1264,2020
AL,50,3,12665,113,12552,7039,5217,24,19,0,13,240,2020
AL,50,3,23087,206,22881,11970,10223,74,91,1,37,485,2020
AL,50,3,14236,449,13787,11261,1942,45,46,4,26,463,2020
AL,50,3,15056,284,14772,13740,457,42,21,2,16,494,2020
AL,50,3,53465,4887,48578,35759,8643,405,892,57,195,2627,2020
AL,50,3,57227,1732,55495,43241,9222,223,432,9,135,2233,2020
AL,50,3,11597,256,11341,5835,5096,71,33,0,16,290,2020
AL,50,3,10387,201,10186,6807,3000,25,8,0,47,299,2020
AL,50,3,37570,654,36916,30657,4563,140,240,0,71,1245,2020
AL,50,3,13194,187,13007,9333,3085,48,83,2,27,429,2020
AL,50,3,87866,4146,83720,78298,914,287,522,64,151,3484,2020
AL,50,3,49326,3254,46072,32602,10100,217,648,42,164,2299,2020
AL,50,3,38462,296,38166,10363,26812,56,145,12,38,740,2020
AL,50,3,71608,11744,59864,54529,1019,715,237,16,86,3262,2020
AL,50,3,87977,2793,85184,62540,18126,270,669,28,275,3276,2020
AL,50,3,36757,751,36006,22004,10922,1488,108,22,49,1413,2020
AL,50,3,103436,4895,98541,77731,14999,332,921,39,260,4259,2020
AL,50,3,16321,396,15925,13552,1720,43,49,1,29,531,2020
AL,50,3,32113,6259,25854,23581,1139,128,67,2,77,860,2020
AL,50,3,26659,1296,25363,21654,2231,166,86,7,72,1147,2020
AL,50,3,7730,61,7669,1285,6227,5,7,0,11,134,2020
AL,50,3,14785,149,14636,5972,8313,34,18,5,23,271,2020
AL,50,3,17146,334,16812,11842,4232,50,73,0,49,566,2020
AL,50,3,107202,4481,102721,68251,28232,321,1260,59,354,4244,2020
AL,50,3,52579,1681,50898,45123,1624,680,214,2,109,3146,2020
AL,50,3,674721,34856,639865,324252,280112,1207,13043,311,1966,18974,2020
AL,50,3,13972,208,13764,11924,1421,28,6,3,22,360,2020
AL,50,3,93564,3078,90486,76491,9164,295,748,31,204,3553,2020
AL,50,3,33073,895,32178,24714,3302,1440,84,7,69,2562,2020
AL,50,3,174241,9135,165106,109795,39252,365,8544,108,462,6580,2020
AL,50,3,103570,7248,96322,75692,13177,458,1857,70,319,4749,2020
AL,50,3,10311,140,10171,2807,7149,9,15,0,5,186,2020
AL,50,3,19532,361,19171,3187,15395,48,74,4,45,418,2020
AL,50,3,388153,24936,363217,237497,91079,2132,10179,450,1702,20178,2020
AL,50,3,19323,368,18955,8375,10133,6,54,1,41,345,2020
AL,50,3,29341,863,28478,26093,1094,82,75,14,43,1077,2020
AL,50,3,97612,15658,81954,74666,2293,418,579,128,199,3671,2020
AL,50,3,414809,13425,401384,226703,145435,3743,8515,216,1302,15470,2020
AL,50,3,19772,207,19565,10334,8253,281,88,0,44,565,2020
AL,50,3,228954,10684,218270,73354,129801,364,7952,119,722,5958,2020
AL,50,3,123421,12377,111044,88238,15307,631,829,79,376,5584,2020
AL,50,3,8511,89,8422,2345,5914,15,10,1,0,137,2020
AL,50,3,19123,1053,18070,10066,7448,23,78,0,12,443,2020
AL,50,3,33009,905,32104,18036,12068,169,577,9,117,1128,2020
AL,50,3,21967,605,21362,16629,3814,50,86,1,51,731,2020
AL,50,3,59183,3195,55988,26679,25930,180,408,128,234,2429,2020
AL,50,3,91103,2575,88528,74962,8617,249,655,20,234,3791,2020
AL,50,3,223024,16460,206564,162712,28711,478,5114,91,798,8660,2020
AL,50,3,12345,131,12214,2937,8955,26,102,3,9,182,2020
AL,50,3,82149,1779,80370,50732,26340,184,395,27,206,2486,2020
AL,50,3,41311,1144,40167,28252,10366,84,222,0,91,1152,2020
AL,50,3,227036,12298,214738,134880,68779,420,3241,94,792,6532,2020
AL,50,3,65342,2152,63190,56394,3889,187,283,2,136,2299,2020
AL,50,3,15388,138,15250,10267,3318,1102,14,2,23,524,2020
AL,50,3,10600,112,10488,2866,7425,11,7,5,16,158,2020
AL,50,3,23540,815,22725,21598,131,83,58,9,39,807,2020
AL,60,3,3185,81,3104,1406,1580,13,9,1,8,87,2020
